model,profile_type,time_window_days,mean_unsupported_rate,mean_genre_token_coverage,mean_total_claims,n_profiles
deepseek,rec_optimized,30,0.2671827011849114,0.6802858934855551,36.7,50
deepseek,rec_optimized,90,0.26829615195403445,0.6423918371312521,34.2,50
deepseek,rec_optimized,180,0.26531784694095706,0.6814262576616587,35.64,50
deepseek,rec_optimized,365,0.24761209377425433,0.6595127876454501,33.92,50
deepseek,user_facing,30,0.2196057466785021,0.24585290724191158,12.5,50
deepseek,user_facing,90,0.20103090863384981,0.22703277545678247,10.62,50
deepseek,user_facing,180,0.20274016437638728,0.267399112031968,12.4,50
deepseek,user_facing,365,0.24448838399302794,0.23987117254993848,11.4,50
gemini,rec_optimized,30,0.20025342168283056,0.5548458480710551,31.96,50
gemini,rec_optimized,90,0.20410531158244122,0.569414924861665,31.76,50
gemini,rec_optimized,180,0.186923476413591,0.5838889272227207,32.42,50
gemini,rec_optimized,365,0.2028317072132538,0.5882199617216619,32.48,50
gemini,user_facing,30,0.22993088123270516,0.2643827609009928,13.92,50
gemini,user_facing,90,0.20729629649676087,0.25574619956244327,13.48,50
gemini,user_facing,180,0.21450240634838155,0.26245024627685054,13.48,50
gemini,user_facing,365,0.2124399778068509,0.27667885507283985,13.18,50
llama,rec_optimized,30,0.2612875148300845,0.31181529823506016,15.74,50
llama,rec_optimized,90,0.28273660592933036,0.3087540204191342,15.62,50
llama,rec_optimized,180,0.2801934844989932,0.36388515545275474,18.0,50
llama,rec_optimized,365,0.2611998163270043,0.334135292413971,16.64,50
llama,user_facing,30,0.321576849833136,0.17966767891617022,9.66,50
llama,user_facing,90,0.28308638518344403,0.17443678396085097,9.36,50
llama,user_facing,180,0.2881685112273347,0.19688838422219615,11.1,50
llama,user_facing,365,0.2308344335403159,0.20121634739179828,9.6,50
